distance,physical_error_probability,logical_error_rate,fit_coefficient,fit_quality
3,0.001,0.0,2.880634043067054,3.0826045014723794e-08
3,0.005157894736842105,5.999999999994898e-05,2.880634043067054,3.0826045014723794e-08
3,0.009315789473684211,0.00024000000000001798,2.880634043067054,3.0826045014723794e-08
3,0.013473684210526315,0.0005699999999999594,2.880634043067054,3.0826045014723794e-08
3,0.017631578947368422,0.0009799999999999809,2.880634043067054,3.0826045014723794e-08
3,0.021789473684210525,0.0015399999999999858,2.880634043067054,3.0826045014723794e-08
3,0.025947368421052632,0.0020999999999999908,2.880634043067054,3.0826045014723794e-08
3,0.03010526315789474,0.0025800000000000267,2.880634043067054,3.0826045014723794e-08
3,0.03426315789473684,0.0032999999999999696,2.880634043067054,3.0826045014723794e-08
3,0.038421052631578946,0.004269999999999996,2.880634043067054,3.0826045014723794e-08
3,0.04257894736842105,0.005210000000000048,2.880634043067054,3.0826045014723794e-08
3,0.04673684210526316,0.006530000000000036,2.880634043067054,3.0826045014723794e-08
3,0.05089473684210526,0.007510000000000017,2.880634043067054,3.0826045014723794e-08
3,0.05505263157894737,0.008680000000000021,2.880634043067054,3.0826045014723794e-08
3,0.05921052631578948,0.009569999999999967,2.880634043067054,3.0826045014723794e-08
3,0.06336842105263157,0.01161000000000001,2.880634043067054,3.0826045014723794e-08
3,0.06752631578947368,0.01314000000000004,2.880634043067054,3.0826045014723794e-08
3,0.0716842105263158,0.015050000000000008,2.880634043067054,3.0826045014723794e-08
3,0.07584210526315789,0.01683000000000001,2.880634043067054,3.0826045014723794e-08
3,0.08,0.01817000000000002,2.880634043067054,3.0826045014723794e-08
5,0.001,0.0,9.132968351722983,2.3382408325713373e-08
5,0.005157894736842105,0.0,9.132968351722983,2.3382408325713373e-08
5,0.009315789473684211,9.99999999995449e-06,9.132968351722983,2.3382408325713373e-08
5,0.013473684210526315,2.999999999997449e-05,9.132968351722983,2.3382408325713373e-08
5,0.017631578947368422,4.0000000000040004e-05,9.132968351722983,2.3382408325713373e-08
5,0.021789473684210525,7.00000000000145e-05,9.132968351722983,2.3382408325713373e-08
5,0.025947368421052632,0.00021000000000004349,9.132968351722983,2.3382408325713373e-08
5,0.03010526315789474,0.00031000000000003247,9.132968351722983,2.3382408325713373e-08
5,0.03426315789473684,0.00046999999999997044,9.132968351722983,2.3382408325713373e-08
5,0.038421052631578946,0.0005199999999999649,9.132968351722983,2.3382408325713373e-08
5,0.04257894736842105,0.0008099999999999774,9.132968351722983,2.3382408325713373e-08
5,0.04673684210526316,0.0009299999999999864,9.132968351722983,2.3382408325713373e-08
5,0.05089473684210526,0.0012900000000000134,9.132968351722983,2.3382408325713373e-08
5,0.05505263157894737,0.0015800000000000258,9.132968351722983,2.3382408325713373e-08
5,0.05921052631578948,0.0019500000000000073,9.132968351722983,2.3382408325713373e-08
5,0.06336842105263157,0.0023199999999999887,9.132968351722983,2.3382408325713373e-08
5,0.06752631578947368,0.0025100000000000122,9.132968351722983,2.3382408325713373e-08
5,0.0716842105263158,0.003530000000000033,9.132968351722983,2.3382408325713373e-08
5,0.07584210526315789,0.003550000000000053,9.132968351722983,2.3382408325713373e-08
5,0.08,0.0050200000000000244,9.132968351722983,2.3382408325713373e-08
7,0.001,0.0,30.861505486346097,1.42996595057168e-09
7,0.005157894736842105,0.0,30.861505486346097,1.42996595057168e-09
7,0.009315789473684211,0.0,30.861505486346097,1.42996595057168e-09
7,0.013473684210526315,0.0,30.861505486346097,1.42996595057168e-09
7,0.017631578947368422,0.0,30.861505486346097,1.42996595057168e-09
7,0.021789473684210525,9.99999999995449e-06,30.861505486346097,1.42996595057168e-09
7,0.025947368421052632,9.99999999995449e-06,30.861505486346097,1.42996595057168e-09
7,0.03010526315789474,2.0000000000020002e-05,30.861505486346097,1.42996595057168e-09
7,0.03426315789473684,4.0000000000040004e-05,30.861505486346097,1.42996595057168e-09
7,0.038421052631578946,9.00000000000345e-05,30.861505486346097,1.42996595057168e-09
7,0.04257894736842105,9.00000000000345e-05,30.861505486346097,1.42996595057168e-09
7,0.04673684210526316,0.000160000000000049,30.861505486346097,1.42996595057168e-09
7,0.05089473684210526,0.00026999999999999247,30.861505486346097,1.42996595057168e-09
7,0.05505263157894737,0.00029000000000001247,30.861505486346097,1.42996595057168e-09
7,0.05921052631578948,0.00039999999999995595,30.861505486346097,1.42996595057168e-09
7,0.06336842105263157,0.00043000000000004146,30.861505486346097,1.42996595057168e-09
7,0.06752631578947368,0.0005600000000000049,30.861505486346097,1.42996595057168e-09
7,0.0716842105263158,0.0009200000000000319,30.861505486346097,1.42996595057168e-09
7,0.07584210526315789,0.0009900000000000464,30.861505486346097,1.42996595057168e-09
7,0.08,0.0012699999999999934,30.861505486346097,1.42996595057168e-09
